source,target,sentence,document
Russia,China,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
China,Turkey,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Turkey,U.S.,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
U.S.,Next Week,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Next Week,Washington,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Washington,"March 24, 2010","Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
"March 24, 2010",Organization:National Security Agency,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Organization:National Security Agency,NSA,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
U.S.,Washington,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
Washington,Sarkozy,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
Sarkozy,U.S.,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
U.S.,Washington,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
Washington,31 March,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
31 March,last week,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
last week,Washington,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
Washington,Pierre Vimont,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
Pierre Vimont,Sarkozy,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
Sarkozy,Jean­David Levitte,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf
Vimont,Washington,"Vimont conveyed that the 
French President will express his frustration that Washington has 
backed away from its proposed bilateral intelligence cooperation 
agreement and Sarkozy intends to continue to push for closure. ",89.pdf
Washington,Sarkozy,"Vimont conveyed that the 
French President will express his frustration that Washington has 
backed away from its proposed bilateral intelligence cooperation 
agreement and Sarkozy intends to continue to push for closure. ",89.pdf
Vimont,Levitte,"As 
Vimont and Levitte understand it, the main sticking point is the U.S.  
desire to continue spying on France. ",89.pdf
Levitte,U.S.,"As 
Vimont and Levitte understand it, the main sticking point is the U.S.  
desire to continue spying on France. ",89.pdf
U.S.,France,"As 
Vimont and Levitte understand it, the main sticking point is the U.S.  
desire to continue spying on France. ",89.pdf
Afghanistan,Levitte,"On the topic of Afghanistan, 
Levitte noted that Sarkozy is ready to authorize more military 
trainers but wants clarification on how many are needed, given the 
conflicting figures from U.S. sources. ",89.pdf
Levitte,Sarkozy,"On the topic of Afghanistan, 
Levitte noted that Sarkozy is ready to authorize more military 
trainers but wants clarification on how many are needed, given the 
conflicting figures from U.S. sources. ",89.pdf
Sarkozy,U.S.,"On the topic of Afghanistan, 
Levitte noted that Sarkozy is ready to authorize more military 
trainers but wants clarification on how many are needed, given the 
conflicting figures from U.S. sources. ",89.pdf
