source,target,sentence,document,cleaned_source,cleaned_target
Washington,"March 24, 2010","Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,washington,march 24 2010
"March 24, 2010",Organization:National Security Agency,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,march 24 2010,organizationnational security agency
Organization:National Security Agency,NSA,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,organizationnational security agency,nsa
Washington,Sarkozy,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,washington,sarkozy
Washington,31 March,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,washington,31 march
31 March,last week,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,31 march,last week
last week,Washington,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,last week,washington
Washington,Pierre Vimont,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,washington,pierre vimont
Pierre Vimont,Sarkozy,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,pierre vimont,sarkozy
Sarkozy,Jean­David Levitte,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,sarkozy,jeandavid levitte
Vimont,Washington,"Vimont conveyed that the 
French President will express his frustration that Washington has 
backed away from its proposed bilateral intelligence cooperation 
agreement and Sarkozy intends to continue to push for closure. ",89.pdf,vimont,washington
Vimont,Levitte,"As 
Vimont and Levitte understand it, the main sticking point is the U.S.  
desire to continue spying on France. ",89.pdf,vimont,levitte
Afghanistan,Levitte,"On the topic of Afghanistan, 
Levitte noted that Sarkozy is ready to authorize more military 
trainers but wants clarification on how many are needed, given the 
conflicting figures from U.S. sources. ",89.pdf,afghanistan,levitte
Levitte,Sarkozy,"On the topic of Afghanistan, 
Levitte noted that Sarkozy is ready to authorize more military 
trainers but wants clarification on how many are needed, given the 
conflicting figures from U.S. sources. ",89.pdf,levitte,sarkozy
Space Corporation,EADS,"Another proposed topic was 
efforts by the European Aeronautic, Defense, and Space Corporation 
(EADS) to win a tanker aircraft contract with the U.S. military. 
",89.pdf,space corporation,eads
Levitte,Pernod,"Levitte had not expected to put the labeling  
dispute with Pernod Ricard (the world's second largest spirits group)  
on the agenda, but Sarkozy had just spoken to the company's chairman 
who had asked the president to intercede on his behalf. ",89.pdf,levitte,pernod
Pernod,Sarkozy,"Levitte had not expected to put the labeling  
dispute with Pernod Ricard (the world's second largest spirits group)  
on the agenda, but Sarkozy had just spoken to the company's chairman 
who had asked the president to intercede on his behalf. ",89.pdf,pernod,sarkozy
Patrick Ricard,Pernod,"(COMMENT: 
Patrick Ricard, chairman of the Pernod Ricard board of directors, is 
said to be one of Sarkozy's wealthy backers.) ",89.pdf,patrick ricard,pernod
Levitte,Iran,"Finally, Levitte expected the two leaders to 
discuss other pressing subjects including Iran, the Middle East Peace  
Process, Afghanistan and Pakistan, Yemen, Somalia, the Sahel, Russia,  
China, Turkey, climate change, and the financial situation of several  
European countries; however, he provided no details on those topics.
",89.pdf,levitte,iran
Iran,Afghanistan,"Finally, Levitte expected the two leaders to 
discuss other pressing subjects including Iran, the Middle East Peace  
Process, Afghanistan and Pakistan, Yemen, Somalia, the Sahel, Russia,  
China, Turkey, climate change, and the financial situation of several  
European countries; however, he provided no details on those topics.
",89.pdf,iran,afghanistan
Afghanistan,Pakistan,"Finally, Levitte expected the two leaders to 
discuss other pressing subjects including Iran, the Middle East Peace  
Process, Afghanistan and Pakistan, Yemen, Somalia, the Sahel, Russia,  
China, Turkey, climate change, and the financial situation of several  
European countries; however, he provided no details on those topics.
",89.pdf,afghanistan,pakistan
"07 February 2006  
 
 
 ",STRICTLY,"NO. 0425/04 
 
 
 
 
 
 
 
 
 
 
 
 
07 February 2006  
 
 
 STRICTLY  CONFIDENTIAL  
  1  ALLEGATIONS OF MISMANAGEMENT AND WASTE OF RESOURCES  BY 
THE OFFICER OF THE UNMIL FUEL CELL 
 
 
I. INTRODUCTION 
 
",63.pdf,07 february 2006,strictly
STRICTLY,I. INTRODUCTION,"NO. 0425/04 
 
 
 
 
 
 
 
 
 
 
 
 
07 February 2006  
 
 
 STRICTLY  CONFIDENTIAL  
  1  ALLEGATIONS OF MISMANAGEMENT AND WASTE OF RESOURCES  BY 
THE OFFICER OF THE UNMIL FUEL CELL 
 
 
I. INTRODUCTION 
 
",63.pdf,strictly,i introduction
the United Nation s Mission,Liberia,"During an assessment mission to the United Nation s Mission in Liberia (UNMIL), 
Investigators of the Investigations Division of the  Office of Internal Oversight Services 
(ID/OIOS) received information that Officer 1, form erly with the UNMIL Fuel Cell, was 
unable to account for US$500,000 in fuel expenses f or the month of February 2004.",63.pdf,the united nation s mission,liberia
Liberia,the Investigations Division,"During an assessment mission to the United Nation s Mission in Liberia (UNMIL), 
Investigators of the Investigations Division of the  Office of Internal Oversight Services 
(ID/OIOS) received information that Officer 1, form erly with the UNMIL Fuel Cell, was 
unable to account for US$500,000 in fuel expenses f or the month of February 2004.",63.pdf,liberia,the investigations division
the Investigations Division,the  Office of Internal Oversight Services,"During an assessment mission to the United Nation s Mission in Liberia (UNMIL), 
Investigators of the Investigations Division of the  Office of Internal Oversight Services 
(ID/OIOS) received information that Officer 1, form erly with the UNMIL Fuel Cell, was 
unable to account for US$500,000 in fuel expenses f or the month of February 2004.",63.pdf,the investigations division,the office of internal oversight services
the  Office of Internal Oversight Services,"500,000","During an assessment mission to the United Nation s Mission in Liberia (UNMIL), 
Investigators of the Investigations Division of the  Office of Internal Oversight Services 
(ID/OIOS) received information that Officer 1, form erly with the UNMIL Fuel Cell, was 
unable to account for US$500,000 in fuel expenses f or the month of February 2004.",63.pdf,the office of internal oversight services,500000
"500,000",the month of February 2004,"During an assessment mission to the United Nation s Mission in Liberia (UNMIL), 
Investigators of the Investigations Division of the  Office of Internal Oversight Services 
(ID/OIOS) received information that Officer 1, form erly with the UNMIL Fuel Cell, was 
unable to account for US$500,000 in fuel expenses f or the month of February 2004.",63.pdf,500000,the month of february 2004
Internal Audit Division 1,IAD1/OIOS,"As a result of the investigation by ID/OIOS into  the allegation against Officer 1, it 
was determined that although it was true that an au dit by Internal Audit Division 1 of 
OIOS (IAD1/OIOS) had discovered that, for the perio d",63.pdf,internal audit division 1,iad1oios
1 August 2003 to 31 March 2004,"455,404","1 August 2003 to 31 March 2004, 
290,066 gallons of fuel (valued at US$455,404)",63.pdf,1 august 2003 to 31 march 2004,455404
coul,UNMIL,"coul d not be accounted for by UNMIL, 
there was no evidence suggesting that Officer 1 was  personally responsible for the 
discrepancy. 
 
 
",63.pdf,coul,unmil
UNMIL,19 September 2003,"UNMIL was established on 19 September 2003 by Sec urity Council Resolution 
1509.",63.pdf,unmil,19 september 2003
19 September 2003,Sec,"UNMIL was established on 19 September 2003 by Sec urity Council Resolution 
1509.",63.pdf,19 september 2003,sec
Sec,Council,"UNMIL was established on 19 September 2003 by Sec urity Council Resolution 
1509.",63.pdf,sec,council
